# Client packets: rev236
# count: 101
# named: 101
# client_table_size: 101
# columns: id\tname\tlength\twrite_count\tfields
# field_format: writeType[byteEncodings](obfuscatedMethodName)
0	NO_TIMEOUT	0	0	-
1	EVENT_KEYBOARD	-2	3	W2[r 8,v](bh),W1[s 0](dz),W3[r 16,r 8,v](bc)
2	FRIENDCHAT_JOIN_LEAVE	-1	2	W1[v](bz),W1[strn](bz)
3	OPWORLDENTITY2	3	2	W2[r 8,v](bh),W1[s 128](di)
4	OPWORLDENTITY1	3	2	W1[v](bz),W2[v,r 8](dj)
5	OPNPC2	3	2	W1[v](bz),W2[r 8,a 128](dp)
6	RESUME_P_OBJDIALOG	2	1	W2[r 8,v](bh)
7	CLOSE_MODAL	0	0	-
8	UPDATE_PLAYER_MODEL_V2	26	0	-
9	IF_SUBOP	10	5	W4[r 24,r 16,v,r 8](bv),W2[r 8,v](bh),W2[r 8,v](bh),W1[v](bz),W1[v](bz)
10	OPWORLDENTITY6	2	1	W2[a 128,r 8](dw)
11	OPOBJT	15	7	W2[v,r 8](dj),W2[v,r 8](dj),W4[v,r 16,r 24,r 8](em),W2[r 8,v](bh),W2[r 8,a 128](dp),W1[s 128](di),W2[v,r 8](dj)
12	REFLECTION_CHECK_REPLY	-1	2	W1[v](bz),W1[v](cj)
13	EVENT_NATIVE_MOUSE_MOVE	-1	0	-
14	EVENT_CAMERA_POSITION	4	2	W2[r 8,a 128](dp),W2[a 128,r 8](dw)
15	OPLOC6	2	1	W2[v,r 8](dj)
16	OPNPC1	3	2	W2[r 8,v](bh),W1[a 128](dv)
17	OPLOC4	7	4	W2[r 8,a 128](dp),W1[s 128](di),W2[v,r 8](dj),W2[v,r 8](dj)
18	OPPLAYER7	3	2	W1[a 128](dv),W2[r 8,v](bh)
19	IF_BUTTONT	16	6	W2[v,r 8](dj),W2[r 8,v](bh),W4[r 24,r 16,v,r 8](bv),W4[v,r 16,r 24,r 8](em),W2[a 128,r 8](dw),W2[r 8,a 128](dp)
20	SOUND_JINGLEEND	4	1	W4[r 24,r 16,v,r 8](bv)
21	OPLOCU	15	7	W2[v,r 8](dj),W4[v,r 16,r 24,r 8](em),W2[r 8,v](bh),W2[r 8,a 128](dp),W2[r 8,v](bh),W1[v](bz),W2[r 8,a 128](dp)
22	OPOBJ3	7	4	W1[v](bz),W2[a 128,r 8](dw),W2[v,r 8](dj),W2[r 8,v](bh)
23	CLANSETTINGS_FULL_REQUEST	1	1	W1[v](bz)
24	EVENT_NATIVE_MOUSE_CLICK	7	0	-
25	OPNPC4	3	2	W1[s 0](dz),W2[a 128,r 8](dw)
26	OPNPCU	11	5	W2[r 8,a 128](dp),W2[a 128,r 8](dw),W1[s 128](di),W4[r 24,r 16,v,r 8](bv),W2[a 128,r 8](dw)
27	CONNECTION_TELEMETRY	-1	2	W1[v](bz),W1[v](cj)
28	CLICKWORLDMAP	4	1	W4[v,r 16,r 24,r 8](em)
29	CLIENT_CHEAT	-1	2	W1[v](bz),W1[strn](bz)
30	DETECT_MODIFIED_CLIENT	4	1	W4[r 24,r 16,v,r 8](bv)
31	SEND_SNAPSHOT	-1	4	W1[v](bz),W1[strn](bz),W1[v](bz),W1[v](bz)
32	OPOBJ5	7	4	W2[a 128,r 8](dw),W1[v](bz),W2[a 128,r 8](dw),W2[a 128,r 8](dw)
33	HISCORE_REQUEST	-1	0	-
34	OPPLAYER1	3	2	W1[v](bz),W2[r 8,v](bh)
35	RESUME_PAUSEBUTTON	6	2	W2[v,r 8](dj),W4[r 16,v,r 24,r 8](ee)
36	IF_BUTTOND	16	6	W2[a 128,r 8](dw),W2[r 8,v](bh),W4[r 24,r 16,v,r 8](bv),W4[r 16,v,r 24,r 8](ee),W2[v,r 8](dj),W2[v,r 8](dj)
37	TELEPORT	9	4	W2[v,r 8](dj),W2[v,r 8](dj),W4[r 8,r 24,r 16,v](ef),W1[a 128](dv)
38	OPOBJ6	6	3	W2[a 128,r 8](dw),W2[v,r 8](dj),W2[r 8,v](bh)
39	AFFINEDCLANSETTINGS_SETMUTED_FROMCHANNEL	-1	4	W1[v](bz),W1[v](bz),W2[r 8,v](bh),W1[strn](bz)
40	EVENT_MOUSE_CLICK_V2	7	4	W1[s 128](di),W2[a 128,r 8](dw),W2[v,r 8](dj),W2[v,r 8](dj)
41	OPOBJU	15	7	W1[v](bz),W4[r 16,v,r 24,r 8](ee),W2[r 8,a 128](dp),W2[v,r 8](dj),W2[r 8,v](bh),W2[r 8,a 128](dp),W2[v,r 8](dj)
42	OPWORLDENTITY5	3	2	W2[r 8,v](bh),W1[s 128](di)
43	RESUME_P_COUNTDIALOG	4	1	W4[r 24,r 16,v,r 8](bv)
44	OPPLAYERT	11	5	W1[s 128](di),W2[v,r 8](dj),W2[a 128,r 8](dw),W4[r 24,r 16,v,r 8](bv),W2[r 8,v](bh)
45	IDLE	0	0	-
46	OPNPC5	3	2	W1[s 0](dz),W2[v,r 8](dj)
47	OPPLAYER2	3	2	W2[r 8,v](bh),W1[s 128](di)
48	RESUME_P_NAMEDIALOG	-1	2	W1[v](bz),W1[strn](bz)
49	OPWORLDENTITY3	3	2	W2[r 8,a 128](dp),W1[s 0](dz)
50	OPNPC6	2	1	W2[a 128,r 8](dw)
51	OPOBJ2	7	4	W2[v,r 8](dj),W1[v](bz),W2[r 8,v](bh),W2[v,r 8](dj)
52	OPWORLDENTITYU	11	5	W2[r 8,v](bh),W1[s 0](dz),W2[r 8,v](bh),W2[r 8,v](bh),W4[r 24,r 16,v,r 8](bv)
53	FRIENDCHAT_KICK	-1	2	W1[v](bz),W1[strn](bz)
54	EVENT_APPLET_FOCUS	1	1	W1[v](bz)
55	FRIENDCHAT_SETRANK	-1	3	W1[v](bz),W1[strn](bz),W1[s 128](di)
